"Ensembl_gene_id","Omim_inheritance"
"ENSG00000073464","XL;XL-R"
"ENSG00000171365","XL-R"
"ENSG00000103249","AD;AR;Heterogeneous"
"ENSG00000186510","Heterogeneous"
"ENSG00000184908","AR;Heterogeneous"
"ENSG00000163347","AR"
"ENSG00000159261","AR"
"ENSG00000113946","AR"
"ENSG00000164007","AR"
"ENSG00000172243","AR"
"ENSG00000155962","XL-R"
"ENSG00000112782","AR"
"ENSG00000166250","AR"
"ENSG00000188603","AR"
"ENSG00000102805","AR"
"ENSG00000128973","AR"
"ENSG00000182372","AR"
"ENSG00000172409","AR"
"ENSG00000162129","AR"
"ENSG00000125656","AR"
"ENSG00000163646","AR"
"ENSG00000169714","AD"
"ENSG00000198515","AR"
"ENSG00000144191","AR"
"ENSG00000070729","AR"
"ENSG00000170289","AR"
"ENSG00000148842","AD;AR"
"ENSG00000158158","AR"
"ENSG00000018236","AR"
"ENSG00000184144","AR"
"ENSG00000108797","AR"
"ENSG00000183513","AR;Heterogeneous;MT"
"ENSG00000168275","AR"
"ENSG00000162377","AR;Heterogeneous;MT"
"ENSG00000068120","AR"
"ENSG00000100473","AD"
"ENSG00000166685","AR"
"ENSG00000135775","AR"
"ENSG00000103051","AR"
"ENSG00000164597","AR"
"ENSG00000133103","AR"
"ENSG00000213380","AR"
"ENSG00000123500","AD"
"ENSG00000060718","AD;AR"
"ENSG00000204248","AD;AR"
"ENSG00000197467","AR"
"ENSG00000065618","AD;AR;Heterogeneous"
"ENSG00000182871","AR"
"ENSG00000108821","AD;AR"
"ENSG00000164692","AD;AR"
"ENSG00000188517","AR"
"ENSG00000196739","AR"
"ENSG00000139219","AD;AR"
"ENSG00000168542","AD"
"ENSG00000187498","AD"
"ENSG00000134871","AD"
"ENSG00000169031","AD;AR;Heterogeneous"
"ENSG00000113163","AD"
"ENSG00000081052","AR;Heterogeneous"
"ENSG00000188153","Heterogeneous;XL;XL-D"
"ENSG00000197565","XL-R"
"ENSG00000130635","AD"
"ENSG00000204262","AD"
"ENSG00000142156","AD;AR"
"ENSG00000142173","AD;AR"
"ENSG00000163359","AD;AR"
"ENSG00000114270","AD;AR"
"ENSG00000171812","AD"
"ENSG00000112280","AD;AR"
"ENSG00000049089","AD;AR;Heterogeneous"
"ENSG00000092758","AD;Heterogeneous"
"ENSG00000184374","AR"
"ENSG00000118004","AR"
"ENSG00000206561","AR"
"ENSG00000105664","AD;Heterogeneous"
"ENSG00000173085","AR"
"ENSG00000167113","AR"
"ENSG00000119723","AR"
"ENSG00000167186","AR"
"ENSG00000163050","AR"
"ENSG00000123815","AR"
"ENSG00000088682","AR"
"ENSG00000145244","AD"
"ENSG00000102879","AR"
"ENSG00000198804","MT"
"ENSG00000006695","AR;Heterogeneous;MT"
"ENSG00000178449","AR;Heterogeneous;MT"
"ENSG00000014919","AR;Heterogeneous;MT"
"ENSG00000198712","MT"
"ENSG00000203667","AR;Heterogeneous;MT"
"ENSG00000198938","Heterogeneous;MT"
"ENSG00000131055","AR"
"ENSG00000111775","AR"
"ENSG00000126267","AR;Heterogeneous;MT"
"ENSG00000131174","XL-D"
"ENSG00000047457","AR"
"ENSG00000165078","AD;AR"
"ENSG00000160111","AR"
"ENSG00000197603","AR"
"ENSG00000168993","AD;Sporadic"
"ENSG00000120054","AR"
"ENSG00000080819","AD"
"ENSG00000021826","AR"
"ENSG00000110090","AR"
"ENSG00000169169","AD"
"ENSG00000157184","AD;AR"
"ENSG00000117322","AD;AR"
"ENSG00000169372","AR"
"ENSG00000134376","AR"
"ENSG00000148204","AR"
"ENSG00000113851","AR"
"ENSG00000118260","Somatic mutation"
"ENSG00000005339","AD;Heterogeneous;Sporadic"
"ENSG00000163703","AD;Heterogeneous"
"ENSG00000119878","AR"
"ENSG00000006016","AR"
"ENSG00000170275","AR"
"ENSG00000105392","AD;AR"
"ENSG00000160202","AD"
"ENSG00000109846","AD;AR"
"ENSG00000108255","AD"
"ENSG00000163499","AD"
"ENSG00000196431","AD"
"ENSG00000100122","AD;AR"
"ENSG00000244752","AD"
"ENSG00000100053","AD;AR"
"ENSG00000182187","AD"
"ENSG00000163254","AD"
"ENSG00000118231","AD"
"ENSG00000213139","AD"
"ENSG00000103316","AD"
"ENSG00000182578","AD"
"ENSG00000100368","AR"
"ENSG00000119535","AD;AR"
"ENSG00000141551","AD"
"ENSG00000101266","AD"
"ENSG00000104218","AR"
"ENSG00000129170","AD"
"ENSG00000101439","AD"
