Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000123607 TTC21B AD,AR
ENSG00000144285 SCN1A AD
ENSG00000169432 SCN9A AD,AR
ENSG00000073734 ABCB11 AR
ENSG00000081479 LRP2 AR
ENSG00000163093 BBS5 AR
ENSG00000239474 KLHL41 AR
ENSG00000128683 GAD1 AR
ENSG00000115827 DCAF17 AR
ENSG00000115840 SLC25A12 AR
ENSG00000091409 ITGA6 AR
ENSG00000091436 MLTK AR
ENSG00000138435 CHRNA1 AD,AR
ENSG00000128714 HOXD13 AD
ENSG00000128710 HOXD10 AD
ENSG00000018510 AGPS AR
ENSG00000128655 PDE11A AD
ENSG00000180228 PRKRA AR
ENSG00000204311 DFNB59 AR
ENSG00000155657 TTN AD,AR
ENSG00000162992 NEUROD1 AD
ENSG00000162998 FRZB Mu
ENSG00000168542 COL3A1 AD
ENSG00000204262 COL5A2 AD
ENSG00000138449 SLC40A1 AD
ENSG00000198130 HIBCH AR
ENSG00000115415 STAT1 AD,AR
ENSG00000138411 HECW2 AD
ENSG00000197121 PGAP1 AR
ENSG00000144381 HSPD1 AD,AR
ENSG00000247626 MARS2 AR
ENSG00000119042 SATB2 AD
ENSG00000119013 NDUFB3 AR,Mi,XLD,XL
ENSG00000003400 CASP10 AD
ENSG00000064012 CASP8 AD,AR
ENSG00000155755 TMEM237 AR
ENSG00000003393 ALS2 AR
ENSG00000204217 BMPR2 AD
ENSG00000163599 CTLA4 AD
ENSG00000163600 ICOS AR
ENSG00000023228 NDUFS1 AR,Mi,XLD,XL
ENSG00000118246 FASTKD2 AR,Mi
ENSG00000118231 CRYGD AD
ENSG00000163254 CRYGC AD
ENSG00000182187 CRYGB AD
ENSG00000115020 PIKFYVE AD
ENSG00000144406 UNC80 AR
ENSG00000021826 CPS1 AR
ENSG00000178568 ERBB4 AD
ENSG00000138376 BARD1 AD
ENSG00000144452 ABCA12 AR
ENSG00000138363 ATIC AR
ENSG00000115414 FN1 AD
ENSG00000138375 SMARCAL1 AR
ENSG00000127838 PNKD AD
ENSG00000074582 BCS1L AR,Mi
ENSG00000135929 CYP27A1 AR
ENSG00000135925 WNT10A AD,AR
ENSG00000163499 CRYBA2 AD
ENSG00000163501 IHH AD,AR
ENSG00000115657 ABCB6 AD
ENSG00000127824 TUBA4A AD
ENSG00000135924 DNAJB2 AR
ENSG00000175084 DES AD,AR
ENSG00000072195 SPEG AR
ENSG00000144591 GMPPA AR
ENSG00000135903 PAX3 AD,AR
ENSG00000152056 AP1S3 AD
